"GEOGRAPHY_CODE","C2021_HIQUAL_8_NAME","OBS_VALUE"
"E02000345","Total: All usual residents aged 16 years and over",5365
"E02000345","No qualifications",1813
"E02000345","Level 1 and entry level qualifications",460
"E02000345","Level 2 qualifications",683
"E02000345","Apprenticeship",151
"E02000345","Level 3 qualifications",551
"E02000345","Level 4 qualifications or above",1447
"E02000345","Other qualifications",260
"E02000346","Total: All usual residents aged 16 years and over",7516
"E02000346","No qualifications",1379
"E02000346","Level 1 and entry level qualifications",484
"E02000346","Level 2 qualifications",603
"E02000346","Apprenticeship",198
"E02000346","Level 3 qualifications",885
"E02000346","Level 4 qualifications or above",3791
"E02000346","Other qualifications",176
"E02000347","Total: All usual residents aged 16 years and over",5504
"E02000347","No qualifications",1531
"E02000347","Level 1 and entry level qualifications",507
"E02000347","Level 2 qualifications",659
"E02000347","Apprenticeship",142
"E02000347","Level 3 qualifications",578
"E02000347","Level 4 qualifications or above",1901
"E02000347","Other qualifications",186
"E02000348","Total: All usual residents aged 16 years and over",5399
"E02000348","No qualifications",1679
"E02000348","Level 1 and entry level qualifications",523
"E02000348","Level 2 qualifications",655
"E02000348","Apprenticeship",156
"E02000348","Level 3 qualifications",586
"E02000348","Level 4 qualifications or above",1586
"E02000348","Other qualifications",214
"E02000350","Total: All usual residents aged 16 years and over",8131
"E02000350","No qualifications",1347
"E02000350","Level 1 and entry level qualifications",483
"E02000350","Level 2 qualifications",605
"E02000350","Apprenticeship",200
"E02000350","Level 3 qualifications",898
"E02000350","Level 4 qualifications or above",4370
"E02000350","Other qualifications",228
"E02000351","Total: All usual residents aged 16 years and over",7940
"E02000351","No qualifications",924
"E02000351","Level 1 and entry level qualifications",377
"E02000351","Level 2 qualifications",485
"E02000351","Apprenticeship",153
"E02000351","Level 3 qualifications",821
"E02000351","Level 4 qualifications or above",5044
"E02000351","Other qualifications",136
"E02000352","Total: All usual residents aged 16 years and over",5263
"E02000352","No qualifications",780
"E02000352","Level 1 and entry level qualifications",291
"E02000352","Level 2 qualifications",491
"E02000352","Apprenticeship",196
"E02000352","Level 3 qualifications",587
"E02000352","Level 4 qualifications or above",2807
"E02000352","Other qualifications",111
"E02000353","Total: All usual residents aged 16 years and over",6479
"E02000353","No qualifications",717
"E02000353","Level 1 and entry level qualifications",273
"E02000353","Level 2 qualifications",469
"E02000353","Apprenticeship",123
"E02000353","Level 3 qualifications",711
"E02000353","Level 4 qualifications or above",4082
"E02000353","Other qualifications",104
"E02000354","Total: All usual residents aged 16 years and over",8005
"E02000354","No qualifications",1326
"E02000354","Level 1 and entry level qualifications",557
"E02000354","Level 2 qualifications",681
"E02000354","Apprenticeship",215
"E02000354","Level 3 qualifications",935
"E02000354","Level 4 qualifications or above",4074
"E02000354","Other qualifications",217
"E02000355","Total: All usual residents aged 16 years and over",6789
"E02000355","No qualifications",948
"E02000355","Level 1 and entry level qualifications",376
"E02000355","Level 2 qualifications",542
"E02000355","Apprenticeship",124
"E02000355","Level 3 qualifications",799
"E02000355","Level 4 qualifications or above",3857
"E02000355","Other qualifications",143
"E02000356","Total: All usual residents aged 16 years and over",5907
"E02000356","No qualifications",579
"E02000356","Level 1 and entry level qualifications",235
"E02000356","Level 2 qualifications",405
"E02000356","Apprenticeship",99
"E02000356","Level 3 qualifications",575
"E02000356","Level 4 qualifications or above",3910
"E02000356","Other qualifications",104
"E02000357","Total: All usual residents aged 16 years and over",5384
"E02000357","No qualifications",1150
"E02000357","Level 1 and entry level qualifications",424
"E02000357","Level 2 qualifications",621
"E02000357","Apprenticeship",179
"E02000357","Level 3 qualifications",742
"E02000357","Level 4 qualifications or above",2099
"E02000357","Other qualifications",169
"E02000358","Total: All usual residents aged 16 years and over",9405
"E02000358","No qualifications",1350
"E02000358","Level 1 and entry level qualifications",485
"E02000358","Level 2 qualifications",623
"E02000358","Apprenticeship",245
"E02000358","Level 3 qualifications",995
"E02000358","Level 4 qualifications or above",5462
"E02000358","Other qualifications",245
"E02000359","Total: All usual residents aged 16 years and over",5388
"E02000359","No qualifications",812
"E02000359","Level 1 and entry level qualifications",294
"E02000359","Level 2 qualifications",411
"E02000359","Apprenticeship",133
"E02000359","Level 3 qualifications",632
"E02000359","Level 4 qualifications or above",2974
"E02000359","Other qualifications",132
"E02000360","Total: All usual residents aged 16 years and over",9217
"E02000360","No qualifications",1685
"E02000360","Level 1 and entry level qualifications",724
"E02000360","Level 2 qualifications",894
"E02000360","Apprenticeship",239
"E02000360","Level 3 qualifications",1202
"E02000360","Level 4 qualifications or above",4264
"E02000360","Other qualifications",209
"E02000361","Total: All usual residents aged 16 years and over",6871
"E02000361","No qualifications",948
"E02000361","Level 1 and entry level qualifications",374
"E02000361","Level 2 qualifications",448
"E02000361","Apprenticeship",111
"E02000361","Level 3 qualifications",765
"E02000361","Level 4 qualifications or above",4041
"E02000361","Other qualifications",184
"E02000362","Total: All usual residents aged 16 years and over",5815
"E02000362","No qualifications",1011
"E02000362","Level 1 and entry level qualifications",398
"E02000362","Level 2 qualifications",578
"E02000362","Apprenticeship",159
"E02000362","Level 3 qualifications",752
"E02000362","Level 4 qualifications or above",2806
"E02000362","Other qualifications",111
"E02000363","Total: All usual residents aged 16 years and over",9160
"E02000363","No qualifications",1855
"E02000363","Level 1 and entry level qualifications",723
"E02000363","Level 2 qualifications",915
"E02000363","Apprenticeship",263
"E02000363","Level 3 qualifications",1286
"E02000363","Level 4 qualifications or above",3864
"E02000363","Other qualifications",254
"E02000364","Total: All usual residents aged 16 years and over",7785
"E02000364","No qualifications",997
"E02000364","Level 1 and entry level qualifications",379
"E02000364","Level 2 qualifications",568
"E02000364","Apprenticeship",186
"E02000364","Level 3 qualifications",884
"E02000364","Level 4 qualifications or above",4619
"E02000364","Other qualifications",152
"E02000366","Total: All usual residents aged 16 years and over",6856
"E02000366","No qualifications",1255
"E02000366","Level 1 and entry level qualifications",437
"E02000366","Level 2 qualifications",673
"E02000366","Apprenticeship",165
"E02000366","Level 3 qualifications",884
"E02000366","Level 4 qualifications or above",3302
"E02000366","Other qualifications",140
"E02000367","Total: All usual residents aged 16 years and over",8899
"E02000367","No qualifications",998
"E02000367","Level 1 and entry level qualifications",403
"E02000367","Level 2 qualifications",602
